log(shear rate) in s^-1,Polymer conc(wt%),NaCl concentration(wt%),Ca+2 concentration(wt%),Temperature(in celsius),log(viscosity) in cP
0.0104152,0.3,0.1,0.0,25.0,2309.56
0.022560900000000002,0.3,0.1,0.0,25.0,2298.77
0.0488704,0.3,0.1,0.0,25.0,2288.02
0.101641,0.3,0.1,0.0,25.0,1981.19
0.220169,0.3,0.1,0.0,25.0,1715.09
0.45790699999999995,0.3,0.1,0.0,25.0,1204.6
1.03308,0.3,0.1,0.0,25.0,735.497
2.2378099999999996,0.3,0.1,0.0,25.0,516.4540000000001
4.84744,0.3,0.1,0.0,25.0,294.153
10.0817,0.3,0.1,0.0,25.0,192.676
21.8385,0.3,0.1,0.0,25.0,117.67200000000001
45.4197,0.3,0.1,0.0,25.0,77.0772
102.471,0.3,0.1,0.0,25.0,47.0612
90.6979,0.3,0.1,0.0,25.0,54.148999999999994
0.0108477,0.2,0.1,0.0,25.0,756.09
0.0216615,0.2,0.1,0.0,25.0,807.34
0.0469222,0.2,0.1,0.0,25.0,749.409
0.101641,0.2,0.1,0.0,25.0,695.635
0.22931100000000001,0.2,0.1,0.0,25.0,602.052
0.47691999999999996,0.2,0.1,0.0,25.0,486.18
1.03308,0.2,0.1,0.0,25.0,318.379
2.1486,0.2,0.1,0.0,25.0,239.77599999999998
4.65419,0.2,0.1,0.0,25.0,146.437
9.679789999999999,0.2,0.1,0.0,25.0,95.9188
21.8385,0.2,0.1,0.0,25.0,67.336
45.4197,0.2,0.1,0.0,25.0,41.1338
98.3859,0.2,0.1,0.0,25.0,30.9708
87.0822,0.2,0.1,0.0,25.0,30.9937
0.0104152,0.1,0.1,0.0,25.0,114.947
0.022560900000000002,0.1,0.1,0.0,25.0,114.41
0.0488704,0.1,0.1,0.0,25.0,113.875
0.101641,0.1,0.1,0.0,25.0,113.37100000000001
0.220169,0.1,0.1,0.0,25.0,98.1436
0.45790699999999995,0.1,0.1,0.0,25.0,91.1238
0.9918969999999999,0.1,0.1,0.0,25.0,78.8844
